Kode Provinsi,Nama Provinsi,Kode Kabupaten Kota,Nama Kabupaten Kota,Jumlah Produksi Sampah,Satuan (Ton),Tahun
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,,TON PER HARI,2022
32,JAWA BARAT,3213,KABUPATEN SUBANG,,TON PER HARI,2022
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,,TON PER HARI,2022
32,JAWA BARAT,3215,KABUPATEN KARAWANG,,TON PER HARI,2022
32,JAWA BARAT,3216,KABUPATEN BEKASI,,TON PER HARI,2022
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,,TON PER HARI,2022
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,TON PER HARI,2022
32,JAWA BARAT,3271,KOTA BOGOR,,TON PER HARI,2022
32,JAWA BARAT,3272,KOTA SUKABUMI,,TON PER HARI,2022
32,JAWA BARAT,3273,KOTA BANDUNG,,TON PER HARI,2022
32,JAWA BARAT,3274,KOTA CIREBON,,TON PER HARI,2022
32,JAWA BARAT,3275,KOTA BEKASI,,TON PER HARI,2022
32,JAWA BARAT,3276,KOTA DEPOK,,TON PER HARI,2022
32,JAWA BARAT,3277,KOTA CIMAHI,,TON PER HARI,2022
32,JAWA BARAT,3278,KOTA TASIKMALAYA,,TON PER HARI,2022
32,JAWA BARAT,3279,KOTA BANJAR,,TON PER HARI,2022
32,JAWA BARAT,3201,KABUPATEN BOGOR,,TON PER HARI,2023
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,,TON PER HARI,2023
32,JAWA BARAT,3203,KABUPATEN CIANJUR,,TON PER HARI,2023
32,JAWA BARAT,3204,KABUPATEN BANDUNG,,TON PER HARI,2023
32,JAWA BARAT,3205,KABUPATEN GARUT,,TON PER HARI,2023
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,,TON PER HARI,2023
32,JAWA BARAT,3207,KABUPATEN CIAMIS,,TON PER HARI,2023
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,,TON PER HARI,2023
32,JAWA BARAT,3209,KABUPATEN CIREBON,,TON PER HARI,2023
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,,TON PER HARI,2023
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,,TON PER HARI,2023
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,,TON PER HARI,2023
32,JAWA BARAT,3213,KABUPATEN SUBANG,,TON PER HARI,2023
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,,TON PER HARI,2023
32,JAWA BARAT,3215,KABUPATEN KARAWANG,,TON PER HARI,2023
32,JAWA BARAT,3216,KABUPATEN BEKASI,,TON PER HARI,2023
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,,TON PER HARI,2023
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,TON PER HARI,2023
32,JAWA BARAT,3271,KOTA BOGOR,,TON PER HARI,2023
32,JAWA BARAT,3272,KOTA SUKABUMI,,TON PER HARI,2023
32,JAWA BARAT,3273,KOTA BANDUNG,,TON PER HARI,2023
32,JAWA BARAT,3274,KOTA CIREBON,,TON PER HARI,2023
32,JAWA BARAT,3275,KOTA BEKASI,,TON PER HARI,2023
32,JAWA BARAT,3276,KOTA DEPOK,,TON PER HARI,2023
32,JAWA BARAT,3277,KOTA CIMAHI,,TON PER HARI,2023
32,JAWA BARAT,3278,KOTA TASIKMALAYA,,TON PER HARI,2023
32,JAWA BARAT,3279,KOTA BANJAR,,TON PER HARI,2023
